Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of alpha-beta T cell proliferation (GO:0046641)	14/16	4.594487e-03	9.999972e-01	0	0	6.125164e+00	3.297114e+01	SYK;CD81;IL18;PTPN22;HLA-A;RASAL3;HLA-E;IL23A;TNFSF4;IL12B;XCL1;LGALS9;CD55;CCR2
GO_Biological_Process_2021	negative regulation of interleukin-2 production (GO:0032703)	18/22	5.457967e-03	9.999972e-01	0	0	3.938239e+00	2.052090e+01	PRNP;CR1;HOMER2;SFTPD;LAPTM5;TNFAIP3;FOXP3;LILRB4;ZFP36;PTPRC;NAV3;TBX21;XCL1;HOMER3;EZR;CD34;GBP1;HAVCR2
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	8/8	6.564319e-03	9.999972e-01	0	0	7.462400e+04	3.750682e+05	ERAP2;ERAP1;TAP2;TAP1;ABCB9;HLA-A;IDE;B2M
GO_Biological_Process_2021	positive regulation of T cell proliferation (GO:0042102)	45/66	1.019109e-02	9.999972e-01	0	0	1.876689e+00	8.606947e+00	CD86;IL21;CD274;TFRC;HHLA2;CD80;TNFRSF13C;CD1D;CD3E;PNP;HLA-DMB;CCL5;RPS3;IL12B;NCKAP1L;CCL19;IL12RB1;JAK3;CCR2;HLA-DPA1;NCK1;CD276;ANXA1;VCAM1;SYK;IL15;IGFBP2;IL18;IGF2;PDCD1LG2;IL2;CCDC88B;TMIGD2;CD40LG;PTPRC;CD6;IL23A;CD209;LEP;TNFSF4;CD28;HLA-DPB1;IL6ST;ZP3;CD24
GO_Biological_Process_2021	regulation of interleukin-2 production (GO:0032663)	34/48	1.025583e-02	9.999972e-01	0	0	2.126313e+00	9.738319e+00	CD86;STOML2;CD80;TNFAIP3;MALT1;ZFP36;PNP;CLEC7A;TBX21;PDE4B;PLCG2;RPS3;HOMER3;CD34;GBP1;CCR2;HAVCR2;PRNP;ANXA1;CR1;HOMER2;PDE4D;SFTPD;LAPTM5;FOXP3;LILRB4;CD4;PTPRC;NAV3;IRF4;CD28;XCL1;EZR;CARD11
GO_Biological_Process_2021	regulation of T cell apoptotic process (GO:0070232)	10/11	1.058281e-02	9.999972e-01	0	0	8.747890e+00	3.978999e+01	CD274;LGALS3;PRELID1;RIPK3;CCL5;PIP;PRKCQ;PDCD1;JAK3;IDO1
GO_Biological_Process_2021	regulation of T cell mediated cytotoxicity (GO:0001914)	22/29	1.097454e-02	9.999972e-01	0	0	2.750664e+00	1.241148e+01	RIPK3;STX7;HLA-B;CD1E;LILRB1;CD1D;HLA-A;CYRIB;HLA-F;CD1B;CD1A;HLA-E;AZGP1;PTPRC;IL23A;IL12B;HLA-DRA;XCL1;KLRD1;KLRC1;IL12RB1;HLA-DRB1
GO_Biological_Process_2021	positive regulation of B cell receptor signaling pathway (GO:0050861)	7/7	1.230575e-02	9.999972e-01	0	0	6.529600e+04	2.871515e+05	PRKCH;CD81;PRKCB;NFAM1;SLC39A10;STAP1;FOXP1
GO_Biological_Process_2021	positive regulation of natural killer cell mediated immunity (GO:0002717)	18/23	1.258634e-02	9.999972e-01	0	0	3.150253e+00	1.378281e+01	IL21;CADM1;KLRC2;CD160;CRTAM;SH2D1B;HLA-F;PVR;RASGRP1;KIR2DL4;HLA-E;NCR3;KLRK1;LAMP1;RAET1G;CD226;KLRD1;SLAMF6
GO_Biological_Process_2021	regulation of B cell receptor signaling pathway (GO:0050855)	18/23	1.258634e-02	9.999972e-01	0	0	3.150253e+00	1.378281e+01	BLK;LYN;PRKCH;CBFB;CD81;PRKCB;FCRL3;NFAM1;SLC39A10;PTPN22;GCSAM;PAX5;FOXP1;ELF1;CD19;LPXN;STAP1;CD22
GO_Biological_Process_2021	regulation of interleukin-4 production (GO:0032673)	18/23	1.258634e-02	9.999972e-01	0	0	3.150253e+00	1.378281e+01	CD86;CEBPB;SYK;LEF1;FOXP3;PRKCZ;HLA-E;SLC7A5;CD40LG;IRF4;DDIT3;TNFSF4;CD28;PRKCQ;LGALS9;ZP3;HLA-DRB1;HAVCR2
GO_Biological_Process_2021	positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	16/20	1.310609e-02	9.999972e-01	0	0	3.500000e+00	1.517137e+01	IL21;CADM1;KLRC2;CD160;CRTAM;HLA-F;PVR;RASGRP1;HLA-E;NCR3;KLRK1;LAMP1;IL12B;CD226;KLRD1;SLAMF6
GO_Biological_Process_2021	peptide catabolic process (GO:0043171)	19/25	1.740404e-02	9.999972e-01	0	0	2.771019e+00	1.122555e+01	GGT5;ACE;ERAP2;CPQ;LVRN;ERAP1;ECE1;LNPEP;IDE;TRHDE;NPEPPS;ANPEP;CTSH;DPEP1;CHAC2;TPP1;CHAC1;LTA4H;GGT1
GO_Biological_Process_2021	B cell homeostasis (GO:0001782)	9/10	1.820604e-02	9.999972e-01	0	0	7.872362e+00	3.153670e+01	DOCK10;LYN;DOCK11;MEF2C;CAMLG;TNFRSF13B;TNFAIP3;NCKAP1L;GAPT
GO_Biological_Process_2021	regulation of cell-cell adhesion mediated by integrin (GO:0033632)	9/10	1.820604e-02	9.999972e-01	0	0	7.872362e+00	3.153670e+01	DPP4;PODXL;WNK1;CCL5;CD3E;CXCL13;ADA;SKAP1;FERMT3
GO_Biological_Process_2021	SNARE complex assembly (GO:0035493)	9/10	1.820604e-02	9.999972e-01	0	0	7.872362e+00	3.153670e+01	UVRAG;CLTRN;STXBP1;VAMP1;STXBP6;VAMP4;VAMP2;SNCA;VAMP3
GO_Biological_Process_2021	regulation of B cell proliferation (GO:0030888)	32/46	1.869016e-02	9.999972e-01	0	0	2.000859e+00	7.962936e+00	BLK;IL21;SASH3;CD40;TFRC;TNFRSF13B;CD81;IRS2;TNFRSF13C;IKZF3;TNFSF13B;CD38;CTLA4;NCKAP1L;EPHB2;CHRNB2;IL10;LYN;CD74;MEF2C;FCRL3;NFATC2;IL2;BST1;PTPRC;IL7;GPR183;MZB1;ATM;MNDA;CD22;TNFRSF21
GO_Biological_Process_2021	regulation of retrograde protein transport, ER to cytosol (GO:1904152)	11/13	2.042621e-02	9.999972e-01	0	0	4.811275e+00	1.872036e+01	BCAP31;ERLEC1;BRSK2;DERL3;EDEM1;EDEM2;DERL2;YOD1;SVIP;UBAC2;UBE2J1
GO_Biological_Process_2021	negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	13/16	2.072162e-02	9.999972e-01	0	0	3.791006e+00	1.469613e+01	SERPINB4;CLEC12B;HLA-B;LILRB1;SERPINB9;HLA-A;HLA-F;KIR2DL4;HLA-E;KLRD1;KLRC1;LGALS9;MICA
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	76/121	2.226881e-02	9.999972e-01	0	0	1.479611e+00	5.629280e+00	CIITA;AQP4;IFI30;CX3CL1;ICAM1;OASL;MT2A;CASP1;SIRPA;TRIM25;LGALS9;JAK2;B2M;TRIM21;TRIM22;HLA-DPA1;JAK1;GBP6;GBP5;DAPK1;IFNGR2;HLA-B;HLA-C;HLA-A;HLA-F;MID1;HLA-E;HCK;IFNG;OAS1;PDE12;IRF4;OAS2;IRF1;OAS3;IRF2;XCL2;IRF8;XCL1;IRF5;CD47;IRF6;TLR4;HLA-DQB2;IRF9;HLA-DQB1;CCL14;SP100;CCL11;PTAFR;CCL5;CCL4;NCAM1;CCL19;CD58;FCGR1A;GBP2;IL12RB1;HLA-DQA2;GBP1;HLA-DQA1;GBP4;GBP3;CCL25;CCL24;HLA-DRB5;VCAM1;CCL22;STAT1;EPRS1;HLA-DPB1;HLA-DRA;TRIM38;TRIM31;HLA-DRB1;TRIM34
GO_Biological_Process_2021	positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902237)	6/6	2.306785e-02	9.999972e-01	0	0	5.596800e+04	2.109610e+05	BCL2L11;DDIT3;PMAIP1;RNF183;BOK;NCK1
GO_Biological_Process_2021	positive regulation of gap junction assembly (GO:1903598)	6/6	2.306785e-02	9.999972e-01	0	0	5.596800e+04	2.109610e+05	ACE2;CNTNAP2;CAV1;IRX3;TBX5;AGT
