GeneID,GSM2977775,GSM2977776,GSM2977777,GSM2977778,GSM2977779,GSM2977780,GSM2977781,GSM2977782,GSM2977783,GSM2977784,GSM2977785,GSM2977786,GSM2977787
100287102,2.2726251844808205,2.7756904017017465,3.2661459328398506,2.409529354124271,3.295713318627144,2.7741288828387285,2.5019391708426557,2.5863014904443102,2.6376884508407348,2.59767631364322,2.4880022648791154,3.872456306175864,2.7553325513843756
653635,8.656912450403526,8.705699589259622,8.810214058727706,5.051815522443357,8.665406719191036,8.714528918174079,8.70141091245585,8.804245454139089,8.80346265630744,8.643278279032536,9.268561658791036,9.461855214258499,9.296380762982688
102466751,4.290613369218255,4.662760791216945,4.485279216792601,2.8132456189200536,4.655262492342806,4.102403692325078,4.320731820050489,4.426169427449349,4.306433259584968,4.379872718457907,4.713829725498341,4.576860088346955,4.345422768083204
107985730,2.2726251844808205,2.531181484300501,1.3645742842277062,2.409529354124271,2.278768882463289,2.1994402159642217,1.3645742842277062,2.2409739539296956,2.2789175737971723,2.249362256255942,1.3645742842277062,2.540901343428094,2.1877701931634825
100302278,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.2789175737971723,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062
645520,2.2726251844808205,1.3645742842277062,1.3645742842277062,2.409529354124271,1.3645742842277062,2.1994402159642217,1.3645742842277062,1.3645742842277062,2.2789175737971723,2.249362256255942,1.3645742842277062,2.540901343428094,1.3645742842277062
79501,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.278768882463289,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062
100996442,6.673487893847603,6.251034817975754,6.519863893009466,6.847380044916522,6.765335363481985,6.407176435934739,6.260723626283868,5.88087560650899,6.3773957323156365,6.087583225520927,6.612519452614623,6.075931602731556,6.4269541779286365
729737,8.591386003963702,8.584004572622126,9.122180930295208,5.381180239376501,8.978349725636953,8.536500364318108,8.421972872267778,8.749460145708177,8.518005976299333,8.515161821619145,9.688750892673474,9.090359972421146,9.2461043312281
102725121,2.2726251844808205,2.200410660324863,3.688353290144883,2.409529354124271,3.7224575300740463,3.2917155484385896,2.5019391708426557,2.5863014904443102,2.6376884508407348,2.59767631364322,2.168730363941241,3.308512016676074,3.6283165419949985
