query,_id,_score,symbol,notfound
2537,2537,26.85718,IFI6,
9473,9473,27.650805,THEMIS2,
5724,5724,26.337494,PTAFR,
2035,2035,26.859024,EPB41,
7805,7805,27.651474,LAPTM5,
100616164,100616164,27.64896,MIR4420,
105378620,105378620,27.64896,LOC105378620,
105378622,105378622,27.651474,LINC01778,
9672,9672,26.859749,SDC3,
692234,692234,27.651474,SNORD103A,
692235,692235,27.651474,SNORD103B,
347735,347735,27.651474,SERINC2,
105378625,105378625,27.651474,LOC105378625,
105379772,105379772,27.651525,LOC105379772,
284551,284551,27.651525,LINC01226,
105378626,105378626,27.651289,LOC105378626,
64129,64129,26.337978,TINAGL1,
105378628,,,,True
1307,1307,26.338097,COL16A1,
3932,3932,26.337978,LCK,
100128071,100128071,27.651525,FAM229A,
252995,252995,26.85963,FNDC5,
3208,3208,27.651525,HPCA,
149076,149076,26.859509,ZNF362,
1912,1912,27.651289,PHC2,
114784,114784,27.651411,CSMD2,
2709,2709,26.859749,GJB5,
2707,2707,26.859749,GJB3,
100861513,100861513,27.650675,ZMYM4-AS1,
105378645,105378645,27.64896,TFAP2E-AS1,
63967,63967,26.337494,CLSPN,
55194,55194,27.651411,EVA1B,
127700,127700,27.651411,OSCP1,
728431,728431,27.650805,LITATS1,
100847010,100847010,27.64896,MIR5581,
284654,284654,26.337366,RSPO1,
55143,55143,26.858898,CDCA8,
127687,127687,27.650675,C1orf122,
2275,2275,26.337494,FHL3,
5453,5453,27.650805,POU3F1,
677834,677834,27.64896,SNORA55,
51440,51440,27.651474,HPCAL4,
107985740,107985740,27.651474,LINC02811,
84879,84879,26.337978,MFSD2A,
10487,10487,26.859694,CAP1,
1298,1298,26.85718,COL9A2,
107984945,,,,True
64744,64744,27.650805,SMAP2,
9132,9132,26.338097,KCNQ4,
163732,163732,26.85963,CITED4,
101929901,101929901,27.650675,FOXO6-AS1,
284716,284716,26.338215,RIMKLA,
84217,84217,27.64896,ZMYND12,
374969,374969,27.650675,SVBP,
128218,128218,27.650675,TMEM125,
4352,4352,26.859694,MPL,
991,991,26.859509,CDC20,
81888,81888,27.651289,HYI,
6487,6487,26.337494,ST3GAL3,
8704,8704,26.85718,B4GALT2,
149473,149473,27.651525,CCDC24,
107984948,107984948,27.651525,LOC107984948,
79639,79639,27.64896,TMEM53,
11004,11004,26.337978,KIF2C,
6202,6202,26.337978,RPS8,
26811,26811,27.651289,SNORD55,
94161,94161,27.651289,SNORD46,
94162,94162,27.651474,SNORD38A,
107984952,107984952,27.651411,LOC107984952,
8643,8643,26.85963,PTCH2,
541468,541468,27.651411,LURAP1,
2166,2166,26.85963,FAAH,
729041,729041,8.9198475,FAAHP1,
127343,127343,27.650805,DMBX1,
100130197,100130197,27.650805,EFCAB14-AS1,
105378698,105378698,27.650805,LOC105378698,
1580,1580,26.859694,CYP4B1,
1579,1579,26.859694,CYP4A11,
260293,260293,27.650675,CYP4X1,
199974,199974,27.650675,CYP4Z1,
10158,10158,27.650675,PDZK1IP1,
6886,6886,26.858898,TAL1,
6491,6491,27.651525,STIL,
2306,2306,27.651525,FOXD2,
388630,388630,26.85718,TRABD2B,
105379778,105379778,27.651289,LINC02794,
391037,391037,8.91902,SKINT1L,
200010,200010,26.85718,SLC5A9,
54558,54558,27.64896,SPATA6,
79656,79656,27.651474,BEND5,
105378720,105378720,27.651525,EPS15-AS1,
100313892,100313892,27.651525,MIR761,
4998,4998,26.859509,ORC1,
348378,348378,27.650805,SHISAL2A,
55268,55268,26.338165,ECHDC2,
127435,127435,26.859509,PODN,
6512,6512,26.85718,SLC1A7,
7804,7804,26.337978,LRP8,
105378728,105378728,27.651289,LOC105378728,
105378726,105378726,27.64896,LOC105378726,
105378732,105378732,27.650675,LRP8-DT,
105378730,,,,True
107984957,107984957,27.651289,LINC02812,
148979,148979,26.859749,GLIS1,
23648,23648,27.651525,SSBP3,
374977,374977,27.651411,MROH7,
55001,55001,27.651411,TTC22,
199964,199964,27.651411,TMEM61,
255738,255738,26.85963,PCSK9,
100507634,100507634,27.651411,LOC100507634,
199920,199920,27.651289,FYB2,
4070,4070,26.859509,TACSTD2,
3725,3725,26.859509,JUN,
729467,729467,27.650675,HSD52,
105378763,105378763,27.650675,LINC01748,
100996570,100996570,27.651525,NFIA-AS2,
4774,4774,26.859694,NFIA,
163782,163782,27.651474,KANK4,
100996301,100996301,27.651474,FOXD3-AS1,
27022,27022,26.859694,FOXD3,
107984966,107984966,27.650805,LOC107984966,
57685,57685,26.337494,CACHD1,
101927084,101927084,27.650805,LINC01359,
9829,9829,26.337494,DNAJC6,
3953,3953,25.947956,LEPR,
5142,5142,26.85718,PDE4B,
105378776,105378776,27.651289,LOC105378776,
200132,200132,27.64896,DYNLT5,
79819,79819,27.651525,DNAI4,
23169,23169,27.650805,SLC35D1,
3595,3595,25.947956,IL12RB2,
1647,1647,26.859694,GADD45A,
100289178,100289178,27.651289,GNG12-AS1,
9077,9077,27.650675,DIRAS3,
79971,79971,26.85963,WLS,
55635,55635,26.858898,DEPDC1,
105378790,,,,True
102724548,102724548,27.650675,LINC03102,
406962,406962,27.651525,MIR186,
100852410,100852410,27.651525,ZRANB2-DT,
257194,257194,26.859694,NEGR1,
51086,51086,27.650675,TNNI3K,
204962,204962,26.859749,SLC44A5,
692085,692085,27.651474,SNORD45C,
26805,26805,27.651411,SNORD45A,
26804,26804,27.651411,SNORD45B,
26289,26289,26.859024,AK5,
54810,54810,27.651474,GIPC2,
5737,5737,26.337366,PTGFR,
10964,10964,26.859509,IFI44L,
10561,10561,27.650675,IFI44,
101927412,101927412,27.651289,LINC01781,
23266,23266,27.651411,ADGRL2,
148418,148418,27.651289,SAMD13,
58511,58511,27.650805,DNASE2B,
255231,255231,26.858898,MCOLN2,
3491,3491,26.858898,CCN1,
255631,255631,26.337978,COL24A1,
