GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100287102,3.096418812327939,-0.8397951429921461,0.7107559099802689,-1.181552106989106,0.23738346643876085,0.3488776741003132
653635,440.26123836998516,-0.7674469399106202,0.4838697985061473,-1.5860608417387518,0.11272550859482972,0.1984518559614336
102466751,15.916616393951303,-0.2845989218101494,0.34979518807327736,-0.8136158858495497,0.4158650344024629,0.5326884177667707
107985730,0.9167052691928717,0.06236275807668071,1.2105277291183325,0.05151700087209202,0.958913555102193,0.9718426590530554
100302278,0.08226071854114349,0.5224584834842525,4.053176182743542,0.1289010050213527,0.8974359814129761,
645520,0.556109913128681,-0.2040820745239986,1.6899658845560652,-0.12076106174037272,0.903880292555431,
79501,0.08223307685102604,0.5224584834842525,4.053176182743542,0.1289010050213527,0.8974359814129761,
100996442,80.84587249524172,0.042780420087193696,0.241377830005717,0.177234255880834,0.8593243892700324,0.902760184902534
729737,435.4523245500747,-0.8219709763622807,0.472990688211096,-1.7378164028367393,0.08224316947594254,0.15518700849519154
102725121,3.6356818940910305,-0.48190274766564156,0.8050921779246691,-0.598568413504984,0.5494607247282846,0.6560281146697109
102723897,472.14345624292577,-0.859433800608199,0.42347549682431307,-2.0294770466135175,0.04240972457135362,0.0925513033616141
102465909,25.058637702982825,0.11400528465791408,0.3293895490467046,0.3461108131325354,0.7292594373738991,0.8056227198167243
107985721,1.1388934742249843,-0.3846194827551656,1.0280482978590069,-0.3741258884005417,0.7083106588315253,0.7889744431464685
112268260,33.3004912799814,-0.5411979768321119,0.24764110033143288,-2.185412583403136,0.02885860906335899,0.06847752511715063
729759,0.48728300080284603,0.7407711882197527,1.9323303241416048,0.38335639562496854,0.7014555294897286,
100132287,409.3417813034594,-0.5901337690917733,0.4115864488058924,-1.4338027182476196,0.15162856907070563,0.2484616261096975
105378947,1.887460486019376,1.993454602925424,1.2001668272850712,1.660981254943423,0.09671721150749818,0.17588487913989811
101928626,0.0,,,,,
113219467,155.76185082854096,-1.543590060034242,0.5592661680265999,-2.7600276009558753,0.0057796478298574655,0.018917326550435345
81399,6.0303143035617754,0.857965876971999,0.5368373834550431,1.5981857884974373,0.11000163558099411,0.19487432520926629
100133331,435.4581655548755,-0.3501589039024049,0.3285157309191582,-1.065881694379417,0.28647712496724453,0.40187021824646296
107984841,174.1509935776938,0.5530643036342305,0.27735720341608505,1.9940506207244089,0.04614652278424898,0.09899773903191104
107984847,283.813014266366,0.5104562641786309,0.30930673002850545,1.6503238197616574,0.09887672295195235,0.1789087057648267
107984849,44.9698886515765,0.7301351547186609,0.39204400455199867,1.8623806160561234,0.0625494594376133,0.12558000066175634
100288069,75.2378187711432,1.208531320763318,0.36686641432991335,3.294199941879982,0.000987022626610708,0.00454062324898213
105378580,55.50842662571654,0.7056197634166865,0.26527506419423846,2.6599551132330364,0.007815106597000939,0.02413057276228624
400728,16.50521137739901,0.059154069607538225,0.43789334534849994,0.13508784784217287,0.8925424181222092,0.9253594458496762
79854,89.16827617086172,1.0413550767432054,0.3020805252482812,3.4472764369279063,0.0005662688502678002,0.0028812674529094633
643837,532.4158776568536,-0.4453840016663635,0.13737644436926189,-3.2420696554730353,0.0011866501518537206,0.005247708543782081
107984850,1.1674921915092666,-1.1224300446773805,1.1040226623827467,-1.0166730112721656,0.30930900879551537,0.4262492966173681
284593,3.2559550900056786,-1.2826061806955655,0.7350220431578148,-1.7449900892566568,0.0809865941310233,0.153457083298482
284600,232.97755980951098,-0.6697151524114987,0.470029885247643,-1.4248352571425287,0.1542048280810828,0.251561912906713
100130417,108.57400006274825,0.3499572710838234,0.5072497669407174,0.6899111520434136,0.4902500622816628,0.603099356742624
107985728,157.4970340032786,1.9433896978729086,0.7098115078582606,2.7378954502115174,0.006183372987156776,0.020008587695163397
148398,272.8610652899698,-0.3878500025531765,0.6606954896378319,-0.5870329200609211,0.5571815974515557,0.6631316347634214
26155,1781.7663728520492,-0.5571045546702367,0.4180165207514855,-1.3327333418992795,0.18261932746331333,0.28601028541104667
339451,277.56058619377757,-0.2829853090962316,0.6767883905506817,-0.4181296739826982,0.6758523102471201,0.7630659808523991
84069,180.41616505480974,-1.091752241538717,0.5986137296210022,-1.8238008711058693,0.06818218215573489,0.13434817374495325
84808,32.41089019926251,-1.8633364215937136,0.440976564064048,-4.225477209993137,2.3843495584603864e-05,0.0002092594015634589
57801,106.34646690746794,-2.114811145508809,0.5949888722433743,-3.5543709204762512,0.0003788844447202426,0.0020762680996752434
9636,802.3887153397287,1.502177796244865,0.7901508876067697,1.9011277716775106,0.05728527879909595,0.11729548342477528
375790,3979.889448422328,-1.9367385685005691,0.7749340757983355,-2.499230100967421,0.01244634668325054,0.034997124437051844
100288175,32.3359673227081,-1.5338517014768087,0.458327885145043,-3.346625311683587,0.0008180169716397679,0.0038993192987211113
112267874,21.14466558273219,-1.2862560618157302,0.3739955432725273,-3.43922831422204,0.0005833750101168659,0.0029545690927118523
105378948,101.20695138160842,-0.6578632043425771,0.5067034454704413,-1.2983199743822418,0.19417740539846906,0.3000070436469722
401934,19.624196541927812,-1.9172885926351342,0.5361028587903146,-3.57634465326558,0.00034843221446031347,0.0019310365792830735
54991,319.8837361625679,-1.0312059069945123,0.6594267812291835,-1.5637913659987024,0.1178665725857252,0.20540562196249398
254099,9.926855903223887,-2.248397808671364,0.7465878620407495,-3.011564911496839,0.0025990482738867788,0.009924939006428737
406984,5.589902200104988,-2.1979000033402047,0.8162359274531832,-2.6927263667480132,0.00708704074184117,0.022293816498353436
406983,9.089018872185,-2.8098677465531128,0.6780058601480162,-4.144311888306817,3.4083560520722304e-05,0.00028158523446460853
554210,19.448671740476968,-2.6145967541574895,0.6267389148720824,-4.171747903496832,3.022719558161945e-05,0.00025619731780870367
100506376,9.00590311142781,-1.351512272811444,0.5697404882059606,-2.372154166306807,0.017684710034938447,0.04633361460627105
254173,16.10387587686051,-1.7227458819121642,0.5049246003483923,-3.411887400066245,0.0006451475660217271,0.0032090920514284238
8784,116.24592136667253,1.1011074804279233,0.6339466503732746,1.7369087442603872,0.08240327972768365,0.15536548393690167
7293,154.5369865026822,1.6292075826719663,0.7478607361369058,2.1784905985139433,0.02936953141462651,0.06937744104112645
51150,1843.265510323194,-0.9561758996905254,0.6254274902163821,-1.5288357397908952,0.12630516987150642,0.21654380563713982
126792,398.5545353251991,-1.6615622882671959,0.3969368944308869,-4.18596082042079,2.8396233067839975e-05,0.00024241164700847609
388581,19.692488918365434,-1.5523951222271135,0.4999622003630955,-3.1050249820880316,0.0019026295406441578,0.0077326844682076325
118424,674.8773172153566,-1.0389815595472225,0.3319054954824987,-3.1303535906714375,0.0017459600725652869,0.0072164151575682895
101928895,66.33045170117435,-0.4730585151841723,0.5604995951281384,-0.843994392317133,0.3986725391982583,0.5159387682074067
6339,156.7177669926987,-1.5521855783763183,0.5728981651168905,-2.709356868091243,0.006741378539448918,0.021376623602244516
116983,1235.3867782256584,-0.6958025970417252,0.5576709761634955,-1.2476937599093072,0.21214322736903324,0.3204901374286452
102465434,0.76006678125088,-2.2471334693133302,1.4165836366052598,-1.5863048331536733,0.11267017646805708,
109623456,18.18770672886828,-0.27249956231832445,0.44438035117768926,-0.6132124464912788,0.5397358760097744,0.6477331342572908
126789,175.6872780950515,-1.0484448132822224,0.6094983775100898,-1.7201765451211004,0.08540035514928214,0.15979852065385539
54973,1413.1758412990343,-0.8962589943402065,0.4780849307221415,-1.8746857236985448,0.06083597206376458,0.12295957684642048
102465435,10.287712762571752,-0.9622889412311452,0.44734033347530977,-2.151133866591659,0.03146563509331017,0.07330045155640694
80772,370.55783882662985,-1.5045767270877226,0.5297637377280031,-2.8400900626766163,0.0045100798606974735,0.015421860626898836
